"재배규모별","경영개황별","항목","단위","1963 년","1964 년","1966 년","1967 년","1968 년","1969 년","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국평균","경지면적","경영개황","㎡","9379","9441","9845","10635","10562","10370","10622","10850","10532","10519","10139","10146","10238","10367","10582","10641","10780","10876","11220","15269","15279","14390","14793","14843","13934","12724","12988","13398","13871","14063","15041","15607","15686","16069","15131","15894","16212","16691","17041","16595","16413","16189","16410","16502","14332.1620512821","18002.96972","18408.54773","18532.821","18750.358","23063.5","23196.966","23760.172","23831.567","24506.085","19357.298","20188.518","20085.21","19631.643","19670.403","19717.021","20353.655",
"전국평균","논","경영개황","㎡","6423","6360","6493","6826","6955","6850","7051","7124","6737","6942","6258","6271","6423","6942","7200","7316","7623","7752","7997","11626","11468","10602","10916","10975","10347","9055","9276","9643","10225","10304","10969","11402","11260","11603","10694","11114","11276","11646","12146","12311","12023","11788","12046","12042","10169.9220512821","11607.33684","11829.97893","11741.677","11754.101","15964.457","16276.797","16885.377","16804.58","17462.176","14882.613","15510.661","15478.77","14982.236","15067.77","15419.451","15499.877",
"전국평균","밭","경영개황","㎡","2830","2995","3260","3689","3484","3362","3352","3425","3408","3200","3431","3319","3279","2810","2826","2800","2635","2625","2744","3078","3220","3164","3246","3213","3045","3055","3071","3071","2972","3180","3402","3541","3650","3656","3474","3779","3947","4046","3901","3144","3283","3349","3408","3507","2910.2666666667","5118.94314","5218.18038","5322.177","5521.78","5748.26","5613.419","5583.903","5681.972","5745.588","3486.227","3673.96","3670.455","3722.382","3665.496","3529.059","3787.115",
"전국평균","수원지","경영개황","㎡","122","86","93","119","122","159","218","301","387","377","450","555","536","615","555","526","522","499","479","565","592","625","631","655","542","615","641","684","674","579","671","664","777","810","962","1002","988","998","995","1137","1107","1051","955","952","1251.9733333333","1276.68974","1360.38841","1468.968","1474.477","1350.784","1306.749","1290.891","1345.015","1298.321","988.458","1003.897","935.985","927.024","937.137","768.511","1066.663",
"전국평균","자작지","경영개황","㎡","8023","8222","8321","8883","8665","8542","8684","8886","8909","9084","8856","8770","8876","8602","8671","8602","8542","8499","8496","11656","11031","10235","10056","10284","9392","8258","8284","8278","8565","8866","8879","8936","8850","8945","8850","8780","8731","8820","9018","9712","9303","8860","8724","8620","7852.5025641026","9211.69159","9244.77024","9250.348","9278.647","10248.931","10179.926","10186.588","9935.784","10086.132","9243.576","9481.825","9274.305","8967.297","8839.068","8952.159","9349.793",
"전국평균","논","경영개황","㎡","5541","5544","5501","5739","5755","5630","5762","5871","5683","5924","5461","5412","5564","5792","5861","5845","5977","5987","6010","8807","8188","7478","7316","7507","6906","5941","6013","6050","6321","6426","6456","6499","6327","6367","6116","6046","6066","6119","6410","7226","6896","6493","6331","6232","5505.2820512821","5878.51607","5794.30415","5754.606","5737.005","6706.966","6757.537","6835.594","6641.583","6729.881","6430.586","6498.641","6352.75","6039.172","5911.453","6391.789","6433.083",
"전국평균","밭","경영개황","㎡","2397","2608","2727","3051","2820","2757","2731","2747","2860","2783","2955","2836","2807","2317","2301","2274","2093","2060","2073","2334","2324","2218","2245","2221","2036","1848","1779","1749","1739","1990","1917","1921","1934","1947","1974","1947","1904","1941","1874","1686","1577","1527","1600","1635","1429.201025641","2380.23486","2399.73074","2440.312","2488.26","2624.359","2548.404","2478.942","2421.874","2487.43","1995.232","2133.726","2161.547","2161.008","2162.989","1952.296","2021.996",
"전국평균","수원지","경영개황","㎡","89","73","93","93","89","155","192","268","367","377","440","522","506","493","509","483","473","453","413","516","519","539","496","555","450","469","493","479","506","450","506","516","588","631","760","787","760","760","734","800","830","840","793","754","918.0194871795","952.94067","1050.73535","1055.43","1053.382","917.606","873.986","872.052","872.328","868.821","817.758","849.458","760.008","767.117","764.625","608.074","894.714",
"전국평균","차용지","경영개황","㎡","1355","1217","1524","1755","1898","1828","1937","1964","1623","1435","1283","1375","1362","1765","1911","2040","2238","2377","2724","3613","4248","4155","4737","4559","4542","4466","4704","5121","5306","5197","6162","6671","6836","7124","6281","7114","7481","7871","8023","6879","7111","7329","7686","7881","6479.6594871795","8791.27812","9163.77749","9282.473","9471.711","12814.569","13017.039","13573.583","13895.783","14419.953","10113.722","10706.693","10810.904","10664.346","10831.336","10764.862","11003.863",
"전국평균","논","경영개황","㎡","886","820","992","1091","1200","1220","1289","1253","1055","1018","797","860","860","1150","1339","1471","1646","1765","1987","2820","3279","3124","3600","3468","3441","3114","3263","3593","3904","3878","4512","4903","4932","5236","4579","5068","5210","5527","5736","5084","5127","5296","5716","5811","4664.64","5728.82077","6035.67479","5987.07","6017.096","9257.491","9519.261","10049.783","10162.998","10732.295","8452.027","9012.02","9126.02","8943.064","9156.317","9027.662","9066.795",
