"<통계표 메타자료>"
"○ 통계표ID","DT_1EC0002"
"○ 통계표명","재배규모별 논벼 생산농가의 경영개황"
"○ 수록기간"," 년 1963 ~ 2024"
"○ 출처","KOSIS(통계청,「농축산물생산비조사」), 2025.06.15 22:13"
"○ 문의처","042-481-2294"
"○ 주석 정보"
"통계표 >"," 농가경제조사와 농산물생산비조사 표본농가 분리에 따른 통계결과 재정비('18~'23)로 주산물 수량 및 평가액이 수정되었음"
"재배규모별 > 3.0-5.0ha미만"," 1992-1995년은 3.0ha 이상임"
"재배규모별 > 5.0-7.0ha미만"," 1996-2002년은 5.0ha 이상임"
"재배규모별 > 2.0-2.5ha미만"," 1990-1991년은 2.0ha 이상임"

"○ 분류/항목 정보",
"분류코드","분류/항목명","분류값","분류값명","단위","가중치"
"B","재배규모별","50","2.0-2.5ha미만","",""
"B","재배규모별","40","1.5-2.0ha미만","",""
"B","재배규모별","80","5.0-7.0ha미만","",""
"B","재배규모별","85","7.0-10.0ha미만","",""
"B","재배규모별","90","10.0ha이상","",""
"B","재배규모별","30","1.0-1.5ha미만","",""
"B","재배규모별","60","2.5-3.0ha미만","",""
"B","재배규모별","70","3.0-5.0ha미만","",""
"B","재배규모별","10","0.5ha미만","",""
"B","재배규모별","20","0.5-1.0ha미만","",""
"B","재배규모별","00","전국평균","",""
"D","경영개황별","122","밭","㎡",""
"D","경영개황별","100","경지면적","㎡",""
"D","경영개황별","200","논벼 재배면적","㎡",""
"D","경영개황별","101","논","㎡",""
"D","경영개황별","102","밭","㎡",""
"D","경영개황별","220","자작지","㎡",""
"D","경영개황별","340","부산물 평가액","원",""
"D","경영개황별","121","논","㎡",""
"D","경영개황별","133","수원지","㎡",""
"D","경영개황별","230","차용지","㎡",""
"D","경영개황별","103","수원지","㎡",""
"D","경영개황별","130","차용지","㎡",""
"D","경영개황별","131","논","㎡",""
"D","경영개황별","120","자작지","㎡",""
"D","경영개황별","123","수원지","㎡",""
"D","경영개황별","132","밭","㎡",""
"D","경영개황별","300","논벼 생산량(조곡)","",""
"D","경영개황별","310","주산물 수량","㎏",""
"D","경영개황별","320","주산물 평가액","원",""
"D","경영개황별","330","부산물 수량","㎏",""
"D","경영개황별","350","평가액","원",""
"13999001","항목","T10","경영개황","","0"
